26-03-11--08-13-30

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=fine_tuning_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=checkpoint_epoch_400.pkl
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 520, epoch time: 10.24min, tot time: 4.36day, kemeny_dis_train: 1438.533923, kemeny_dis_base: 1438.510912, update: False, training_phase: 2
Epoch: 521, epoch time: 10.22min, tot time: 4.37day, kemeny_dis_train: 1438.599883, kemeny_dis_base: 1438.467643, update: False, training_phase: 2
Epoch: 522, epoch time: 10.28min, tot time: 4.37day, kemeny_dis_train: 1423.099245, kemeny_dis_base: 1423.102640, update: False, training_phase: 2
Epoch: 523, epoch time: 10.26min, tot time: 4.38day, kemeny_dis_train: 1428.358099, kemeny_dis_base: 1428.164365, update: False, training_phase: 2
Epoch: 524, epoch time: 10.20min, tot time: 4.39day, kemeny_dis_train: 1422.994164, kemeny_dis_base: 1423.003567, update: False, training_phase: 2
Epoch: 525, epoch time: 10.26min, tot time: 4.39day, kemeny_dis_train: 1437.639840, kemeny_dis_base: 1437.657389, update: False, training_phase: 2
Epoch: 526, epoch time: 10.23min, tot time: 4.40day, kemeny_dis_train: 1414.608862, kemeny_dis_base: 1414.637447, update: False, training_phase: 2
Epoch: 527, epoch time: 10.25min, tot time: 4.41day, kemeny_dis_train: 1438.022952, kemeny_dis_base: 1437.905128, update: False, training_phase: 2
Epoch: 528, epoch time: 10.26min, tot time: 4.42day, kemeny_dis_train: 1450.437291, kemeny_dis_base: 1450.139896, update: False, training_phase: 2
Epoch: 529, epoch time: 10.28min, tot time: 4.42day, kemeny_dis_train: 1441.967776, kemeny_dis_base: 1441.925347, update: False, training_phase: 2
Epoch: 530, epoch time: 10.25min, tot time: 4.43day, kemeny_dis_train: 1431.003883, kemeny_dis_base: 1431.068736, update: False, training_phase: 2
Epoch: 531, epoch time: 10.23min, tot time: 4.44day, kemeny_dis_train: 1433.936587, kemeny_dis_base: 1433.963439, update: False, training_phase: 2
Epoch: 532, epoch time: 10.28min, tot time: 4.44day, kemeny_dis_train: 1436.404508, kemeny_dis_base: 1436.268413, update: False, training_phase: 2
Epoch: 533, epoch time: 10.25min, tot time: 4.45day, kemeny_dis_train: 1423.883837, kemeny_dis_base: 1423.717158, update: False, training_phase: 2
